номинализация и ее зависимые,лемма номинализации,предложение,номинализация и ее аргументы,модель управления в общем виде,присоединяемые адъюнкты,порядок аргументов,вершина,1-й аргумент,2-ой аргумент,1-ый адъюнкт,2ой адъюнкт,3ий адъюнкт,4ый адъюнкт,
реабилитационных - мероприятий - средств,мероприятие,"Речь идет о расширении федерального перечня реабилитационных мероприятий , технических средств реабилитации и услуг , предоставляемых людям с ограниченными возможностями в соответствии с ФЗ "" О социальной защите инвалидов """,мероприятий - средств,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: мероприятие,arg1: gen: средство,--,,,,,
,,,,,,,,,,,,,,
увеличением - числа,увеличение,"Рост продаж через аптечную сеть препаратов от кашля , содержащих кодеин , вполне соотносится с увеличением числа ежегодно ликвидируемых наркопритонов , где эти лекарства безрецептурного отпуска перерабатываются в дезоморфин",увеличением - числа,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: увеличение,arg1: gen: число,--,,,,,
,,,,,,,,,,,,,,
два - названия - – - штрудель,название,"Оказалось , что в Европе существуют два названия – штрудель и струдель",названия - – - штрудель,['HEAD'],"['PNCT', 'acc']",HEAD,HEAD: название,--,--,adj1: PNCT: –,adj2: acc: штрудель,,,
,,,,,,,,,,,,,,
меньшего - внимания - властей - чем,внимание,"Современное искусство заслуживает не меньшего внимания российских властей , чем его классические формы",внимания - властей - чем,"['HEAD', 'gen']",['CONJ'],HEAD-arg1,HEAD: внимание,arg1: gen: власть,--,adj1: CONJ: чем,,,,
,,,,,,,,,,,,,,
Возмущение - Кучмы,возмущение,Возмущение Кучмы легко объяснимо : с момента собственного назначения премьером Украины он считал ее обмен украинской продукции на газ и нефть едва ли не лучшим методом спасения хиреющих предприятий,Возмущение - Кучмы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: возмущение,arg1: gen: кучма,--,,,,,
,,,,,,,,,,,,,,
спасения - предприятий,спасение,Возмущение Кучмы легко объяснимо : с момента собственного назначения премьером Украины он считал ее обмен украинской продукции на газ и нефть едва ли не лучшим методом спасения хиреющих предприятий,спасения - предприятий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: спасение,arg1: gen: предприятие,--,,,,,
,,,,,,,,,,,,,,
высвобождение - мощностей - из-за падения,высвобождение,"Между тем до газпромовской трубы , где действительно ожидается высвобождение мощностей из-за падения добычи на советских месторождениях , всего 300–400 км",высвобождение - мощностей - из-за падения,"['HEAD', 'gen']",['из-за+gen'],HEAD-arg1,HEAD: высвобождение,arg1: gen: мощность,--,adj1: из-за+gen: падение,,,,
,,,,,,,,,,,,,,
падения - добычи - на месторождениях - км,падение,"Между тем до газпромовской трубы , где действительно ожидается высвобождение мощностей из-за падения добычи на советских месторождениях , всего 300–400 км",падения - добычи - на месторождениях - км,"['HEAD', 'gen', 'gen']",['на+loc'],HEAD-arg1-arg2,HEAD: падение,arg1: gen: добыча,arg2: на+loc: месторождение,adj1: gen: километр,,,,
,,,,,,,,,,,,,,
рассеивания - веществ,рассеивание,"По его словам , "" Приангарье находится в пятой зоне , которая имеет наихудшие условия для рассеивания загрязняющих веществ "" , а это значит , что у Иркутской области по сравнению с другими регионами самый высокий потенциал для загрязнения атмосферы",рассеивания - веществ,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: рассеивание,arg1: gen: вещество,--,,,,,
,,,,,,,,,,,,,,
сравнению - с регионами,сравнение,"По его словам , "" Приангарье находится в пятой зоне , которая имеет наихудшие условия для рассеивания загрязняющих веществ "" , а это значит , что у Иркутской области по сравнению с другими регионами самый высокий потенциал для загрязнения атмосферы",сравнению - с регионами,['HEAD'],['с+ins'],HEAD,HEAD: сравнение,--,--,adj1: с+ins: регион,,,,
,,,,,,,,,,,,,,
загрязнения - атмосферы,загрязнение,"По его словам , "" Приангарье находится в пятой зоне , которая имеет наихудшие условия для рассеивания загрязняющих веществ "" , а это значит , что у Иркутской области по сравнению с другими регионами самый высокий потенциал для загрязнения атмосферы",загрязнения - атмосферы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: загрязнение,arg1: gen: атмосфера,--,,,,,
,,,,,,,,,,,,,,
другие - обнинские - учреждения - культуры,учреждение,"Я даже не пошла в другие обнинские учреждения культуры , чтобы не "" подставлять "" их руководителей",учреждения - культуры,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: учреждение,arg1: gen: культура,--,,,,,
,,,,,,,,,,,,,,
изменения - в составе,изменение,"Ржига вновь идет на изменения в составе , вместо Мусатова выпуская в первом звене ветерана Епенчинцева",изменения - в составе,['HEAD'],['в+loc'],HEAD,HEAD: изменение,--,--,adj1: в+loc: состав,,,,
,,,,,,,,,,,,,,
душевное - отношение - к людям,отношение,"Они не противоречили общечеловеческим нормам , напротив , учили быть терпимыми , сохранять душевное отношение к людям",отношение - к людям,['HEAD'],['к+dat'],HEAD,HEAD: отношение,--,--,adj1: к+dat: человек,,,,
,,,,,,,,,,,,,,
большое - влияние - на Грузию,влияние,"Москва явно надеется , что США , имеющие большое влияние на Грузию , убедят ее снять свои нынешние возражения",влияние - на Грузию,['HEAD'],['на+acc'],HEAD,HEAD: влияние,--,--,adj1: на+acc: грузия,,,,
,,,,,,,,,,,,,,
свои - нынешние - возражения,возражение,"Москва явно надеется , что США , имеющие большое влияние на Грузию , убедят ее снять свои нынешние возражения",свои - возражения,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: возражение,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
ваши - пожелания,пожелание,"Компьютеры будут знать , кто вы , что вы делаете , смогут давать советы , предугадывая ваши пожелания",ваши - пожелания,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: пожелание,arg1: poss: ваш,--,,,,,
,,,,,,,,,,,,,,
отравлению - экс-президента,отравление,"- По отравлению экс-президента Ющенко у следствия возникли серьезные вопросы в части объективности тех анализов , которые проводились за границей , - заявил Пшонка",отравлению - экс-президента,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: отравление,arg1: gen: экс-президента,--,,,,,
,,,,,,,,,,,,,,
радиоактивного - загрязнения - территории,загрязнение,На обычный режим мониторинга уровня радиационного фона специалисты перешли в связи с отсутствием реальной угрозы радиоактивного загрязнения территории Приморского края со стороны Японии,загрязнения - территории,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: загрязнение,arg1: gen: территория,--,,,,,
,,,,,,,,,,,,,,
их - распоряжения,распоряжение,"Причем в высшем эшелоне , возможно , думают , что их распоряжения до людей доходят",их - распоряжения,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: распоряжение,arg1: poss: их,--,,,,,
,,,,,,,,,,,,,,
изменения - железы - состава,изменение,"- При противовирусном лечении возможны изменения щитовидной железы , состава крови , часто возникают психо-неврологические проблемы",изменения - железы - состава,"['HEAD', 'gen', 'gen']",[],HEAD-arg1-arg2,HEAD: изменение,arg1: gen: железа,arg2: gen: состав,,,,,
,,,,,,,,,,,,,,
бюрократического - самовластия - министров,самовластие,"Составленная им довольно объемистая записка была одновременно направлена против развивающихся в русском обществе демократических тенденций и против бюрократического самовластия министров """,самовластия - министров,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: самовластие,arg1: gen: министр,--,,,,,
,,,,,,,,,,,,,,
населения - области,население,"Сейчас очень большая часть населения области , имеющая прописку в разных населенных пунктах , проживает в областном центре , поскольку здесь легче всего найти работу",населения - области,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: население,arg1: gen: область,--,,,,,
,,,,,,,,,,,,,,
указание - премьера - и,указание,"Стало понятно , каким образом налоговики выполнят отданное в конце сентября прошлого года указание премьера Владимира Путина и простят давнишние долги физлиц",указание - премьера - и,"['HEAD', 'gen']",['CONJ'],HEAD-arg1,HEAD: указание,arg1: gen: премьер,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
отношению - к численности,отношение,"Уровень регистрируемой безработицы снизился с 3 , 08 до 2 , 11 % по отношению к численности экономически активного населения",отношению - к численности,['HEAD'],['к+dat'],HEAD,HEAD: отношение,--,--,adj1: к+dat: численность,,,,
,,,,,,,,,,,,,,
сравнению - с январем—февралем,сравнение,"По данным НП "" Совет рынка "" , в первой ценовой зоне ( европейская часть России и Урал ) стоимость энергии на рынке "" на сутки вперед "" ( РСВ ) по сравнению с январем—февралем 2011 года снизилась на 13 , 3 % ( до 908 руб . за 1 МВт ч )",сравнению - с январем—февралем,['HEAD'],['с+ins'],HEAD,HEAD: сравнение,--,--,adj1: с+ins: январем—февралем,,,,
,,,,,,,,,,,,,,
эти - строения - мэрскими,строение,"Я называю эти строения мэрскими не только потому , что некоторые из них и на самом деле принадлежат мэрам , их замам , родственникам и друзьям , а потому , что возведены они , как правило , по устному , а иногда и по письменному разрешению местных властей или благодаря их вовремя закрытым глазам",строения - мэрскими,['HEAD'],['acc'],HEAD,HEAD: строение,--,--,adj1: acc: мэрским,,,,
,,,,,,,,,,,,,,
письменному - разрешению - властей,разрешение,"Я называю эти строения мэрскими не только потому , что некоторые из них и на самом деле принадлежат мэрам , их замам , родственникам и друзьям , а потому , что возведены они , как правило , по устному , а иногда и по письменному разрешению местных властей или благодаря их вовремя закрытым глазам",разрешению - властей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: разрешение,arg1: gen: власть,--,,,,,
,,,,,,,,,,,,,,
нефтедобывающее - предприятие - ОАО,предприятие,"В частности , в 2010 году из Осетрово был вынужден уйти один из крупнейших клиентов – нефтедобывающее предприятие ОАО "" Верхнечонскнефтегаз """,предприятие - ОАО,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: предприятие,arg1: gen: оао,--,,,,,
,,,,,,,,,,,,,,
гудение - шин - звук,гудение,"Поначалу доносилось гудение автомобильных шин — звук еле слышный , но все же достаточный , чтобы одиночество не казалось таким жутким",гудение - шин - звук,"['HEAD', 'gen']",['nom'],HEAD-arg1,HEAD: гудение,arg1: gen: шина,--,adj1: nom: звук,,,,
,,,,,,,,,,,,,,
послематчевого - настроения - ракетки,настроение,"Потому что понимал , что от послематчевого настроения экс-первой ракетки мира зависит судьба моих многочисленных вопросов , составивших три блокнотные страницы убористого почерка",настроения - ракетки,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: настроение,arg1: gen: ракетка,--,,,,,
,,,,,,,,,,,,,,
Создание - отделения,создание,— Создание отделения позволяет сконцентрировать медицинскую помощь кардиологическим больным,Создание - отделения,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: создание,arg1: gen: отделение,--,,,,,
,,,,,,,,,,,,,,
мнению - президента,мнение,"По мнению президента Российской Федерации велоспорта ( РФВ ) Игоря Макарова , главный день на чемпионате для российской сборной – 23 марта , когда будут разыграны медали в командной гонке преследования у мужчин",мнению - президента,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: мнение,arg1: gen: президент,--,,,,,
,,,,,,,,,,,,,,
это - поручение - выполнено - примет,поручение,"Как выяснила "" ОГ "" , это поручение выполнено : 31 марта местный представительный орган примет программу социально-экономического развития городского округа",поручение - выполнено - примет,['HEAD'],"['PRTS,perf,past,pssv neut,sing', 'VERB,perf,tran sing,3per,futr,indc']",HEAD,HEAD: поручение,--,--,"adj1: PRTS,perf,past,pssv neut,sing: выполнить","adj2: VERB,perf,tran sing,3per,futr,indc: принять",,,
,,,,,,,,,,,,,,
социально-экономического - развития - округа,развитие,"Как выяснила "" ОГ "" , это поручение выполнено : 31 марта местный представительный орган примет программу социально-экономического развития городского округа",развития - округа,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: округ,--,,,,,
,,,,,,,,,,,,,,
скандального - выступления - панк-феминисток,выступление,"Патриарх Кирилл дал свою оценку более чем через месяц после скандального выступления панк-феминисток – напомним , что свой "" панк-молебен "" Pussy Riot устроили 21 февраля",выступления - панк-феминисток,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: выступление,arg1: gen: панк-феминисток,--,,,,,
,,,,,,,,,,,,,,
развитие - эндометриоза,развитие,"Кроме того , женщинам интимная близость полезна еще и тем , что предотвращает развитие эндометриоза , помогает регулировать менструальный цикл и улучшает репродуктивные функции организма",развитие - эндометриоза,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: эндометриоз,--,,,,,
,,,,,,,,,,,,,,
свое - разделение - властей,разделение,"Так в авторитарной системе КНР появились сменяемость и свое "" разделение властей "" , которые придали высшему руководству необходимый динамизм",свое - разделение - властей,"['poss', 'HEAD', 'gen']",[],arg1-HEAD-arg2,HEAD: разделение,arg1: poss: свой,arg2: gen: власть,,,,,
,,,,,,,,,,,,,,
ее - скашивание - и,скашивание,"Подобный способ борьбы с "" травкой "" считается более эффективным , чем ее скашивание и прополка",ее - скашивание - и,"['poss', 'HEAD']",['CONJ'],arg1-HEAD,HEAD: скашивание,arg1: poss: ее,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
исполнении - басов,исполнение,"Воодушевляла "" Санта Лючия "" в исполнении басов , баритонов и теноров театра , по-новому исполнил посвящение композитора Дала "" Памяти Корузо "" Баиржаб Дамбиев , красивыми были романсы и бурятские песни",исполнении - басов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: исполнение,arg1: gen: бас,--,,,,,
,,,,,,,,,,,,,,
посвящение - композитора,посвящение,"Воодушевляла "" Санта Лючия "" в исполнении басов , баритонов и теноров театра , по-новому исполнил посвящение композитора Дала "" Памяти Корузо "" Баиржаб Дамбиев , красивыми были романсы и бурятские песни",посвящение - композитора,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: посвящение,arg1: gen: композитор,--,,,,,
,,,,,,,,,,,,,,
обсуждения - послания,обсуждение,"Однако и этот этап можно будет рассматривать только как начало большой работы , начатой Росмолодежью по итогам обсуждения послания Дмитрия Медведева Федеральному собранию РФ",обсуждения - послания,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: обсуждение,arg1: gen: послание,--,,,,,
,,,,,,,,,,,,,,
послания - Дмитрия - собранию,послание,"Однако и этот этап можно будет рассматривать только как начало большой работы , начатой Росмолодежью по итогам обсуждения послания Дмитрия Медведева Федеральному собранию РФ",послания - Дмитрия - собранию,"['HEAD', 'gen']",['dat'],HEAD-arg1,HEAD: послание,arg1: gen: дмитрий,--,adj1: dat: собрание,,,,
,,,,,,,,,,,,,,
Федеральному - собранию - РФ,собрание,"Однако и этот этап можно будет рассматривать только как начало большой работы , начатой Росмолодежью по итогам обсуждения послания Дмитрия Медведева Федеральному собранию РФ",собранию - РФ,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: собрание,arg1: gen: рф,--,,,,,
,,,,,,,,,,,,,,
Особое - внимание - властей,внимание,"Особое внимание властей будет уделяться развитию хозяйств в акваториях Финского залива и Ладожского озера , племенному рыбоводству , производству высококачественного рыбопосадочного материала",внимание - властей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: внимание,arg1: gen: власть,--,,,,,
,,,,,,,,,,,,,,
развитию - хозяйств - в акваториях,развитие,"Особое внимание властей будет уделяться развитию хозяйств в акваториях Финского залива и Ладожского озера , племенному рыбоводству , производству высококачественного рыбопосадочного материала",развитию - хозяйств - в акваториях,"['HEAD', 'gen']",['в+loc'],HEAD-arg1,HEAD: развитие,arg1: gen: хозяйство,--,adj1: в+loc: акватория,,,,
,,,,,,,,,,,,,,
официальным - заявлением - о раскрытии,заявление,Пока следствие не торопиться выступить с официальным заявлением о раскрытии громкого убийства,заявлением - о раскрытии,['HEAD'],['о+loc'],HEAD,HEAD: заявление,--,--,adj1: о+loc: раскрытие,,,,
,,,,,,,,,,,,,,
раскрытии - убийства,раскрытие,Пока следствие не торопиться выступить с официальным заявлением о раскрытии громкого убийства,раскрытии - убийства,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: раскрытие,arg1: gen: убийство,--,,,,,
,,,,,,,,,,,,,,
оформлением - документов,оформление,"Он раздает их нужным людям , поэтому у него нет проблем с оформлением документов на украденную тобой древесину",оформлением - документов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: оформление,arg1: gen: документ,--,,,,,
,,,,,,,,,,,,,,
соревновании - центров,соревнование,""" Комсомольцы "" стали первыми и в соревновании районных центров занятости населения",соревновании - центров,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: соревнование,arg1: gen: центр,--,,,,,
,,,,,,,,,,,,,,
приобретению - сети,приобретение,"Как рассказали источники в нескольких кинокомпаниях , ВИ договорилась об эксклюзивном сотрудничестве с киносетями "" Синема Парк "" , которая в этом году закрыла сделку по приобретению сети кинотеатров Kinostar de Luxe , "" Люксор "" и "" Кронверк Синема """,приобретению - сети,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: приобретение,arg1: gen: сеть,--,,,,,
,,,,,,,,,,,,,,
даже - растяжения - кистей,растяжение,"Счищая слои набелов , наросты штукатурки до кирпича ( руки болели ужасно , многие тогда получили даже растяжения кистей , вручную скалывая эти слои ) , мы обнаружили герб",растяжения - кистей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: растяжение,arg1: gen: кисть,--,,,,,
,,,,,,,,,,,,,,
отношении - имущества,отношение,"Дееспособные лица могут совершать любые сделки , не запрещенные законом , в отношении своего имущества , в том числе продавать , дарить , завещать его",отношении - имущества,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: отношение,arg1: gen: имущество,--,,,,,
,,,,,,,,,,,,,,
внимание - к себе,внимание,"Сам Юрий Абрамович всегда ценил внимание к себе и однажды на этот счет заметил : "" Внимание людей – это высшее , что получает человек от общества в ответ на свою работу и жизнь",внимание - к себе,['HEAD'],['к+dat'],HEAD,HEAD: внимание,--,--,adj1: к+dat: себя,,,,
,,,,,,,,,,,,,,
Внимание - людей,внимание,"Сам Юрий Абрамович всегда ценил внимание к себе и однажды на этот счет заметил : "" Внимание людей – это высшее , что получает человек от общества в ответ на свою работу и жизнь",Внимание - людей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: внимание,arg1: gen: человек,--,,,,,
,,,,,,,,,,,,,,
построению - отношений,построение,"Роми Миилер предельно честно , предупреждает женщин сразу : "" Чужие советы по построению отношений не принесут вам пользы ...",построению - отношений,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: построение,arg1: gen: отношение,--,,,,,
,,,,,,,,,,,,,,
отстаивание - принципов,отстаивание,""" В таком классическом понимании отстаивание принципов , ценностей , за которые граждане готовы голосовать , – этого пока в России нет "" , – заявил Шувалов , сославшись при этом , по сути дела , лишь на "" проклятое советское прошлое """,отстаивание - принципов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: отстаивание,arg1: gen: принцип,--,,,,,
,,,,,,,,,,,,,,
Наивысшие - достижения - КамАза - то,достижение,"Наивысшие достижения "" КамАза "" : Это именно то , что ищут инвесторы",достижения - КамАза - то,['HEAD'],"['nom', 'nom']",HEAD,HEAD: достижение,--,--,adj1: nom: камаза,adj2: nom: то,,,
,,,,,,,,,,,,,,
неисполнении - должником,неисполнение,Ведь согласно ст . 363 ГК РФ при неисполнении должником обеспеченного поручительством обязательства поручитель и должник отвечают перед кредитором солидарно,неисполнении - должником,"['HEAD', 'ins']",[],HEAD-arg1,HEAD: неисполнение,arg1: ins: должник,--,,,,,
,,,,,,,,,,,,,,
обязательного - информирования - Главы,информирование,"Одна из них касалась "" обязательного информирования Главы Администрации города о своем графике """,информирования - Главы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: информирование,arg1: gen: глава,--,,,,,
,,,,,,,,,,,,,,
ее - предположению,предположение,"По ее предположению , строительство окупится лет через 25-30 , но "" в данном случае речь не идет об извлечении дохода "" , описывает депутат",ее - предположению,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: предположение,arg1: poss: ее,--,,,,,
,,,,,,,,,,,,,,
извлечении - дохода,извлечение,"По ее предположению , строительство окупится лет через 25-30 , но "" в данном случае речь не идет об извлечении дохода "" , описывает депутат",извлечении - дохода,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: извлечение,arg1: gen: доход,--,,,,,
,,,,,,,,,,,,,,
Всероссийском - координационном - совещании - руководителей,совещание,"Пришлось вмешаться даже президенту , на Всероссийском координационном совещании руководителей правоохранительных органов он заявил , что "" законы должны быть едины для всех , где бы кто ни работал - в Генеральной прокуратуре , МВД или ФСБ """,совещании - руководителей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: совещание,arg1: gen: руководитель,--,,,,,
,,,,,,,,,,,,,,
приобретения - материалов - и,приобретение,"Эти средства он использовал для приобретения материалов и оплаты команды мастеров и производственников для изготовления своей скульптуры "" Маленький Будда """,приобретения - материалов - и,"['HEAD', 'gen']",['CONJ'],HEAD-arg1,HEAD: приобретение,arg1: gen: материал,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
изготовления - скульптуры,изготовление,"Эти средства он использовал для приобретения материалов и оплаты команды мастеров и производственников для изготовления своей скульптуры "" Маленький Будда """,изготовления - скульптуры,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: изготовление,arg1: gen: скульптура,--,,,,,
,,,,,,,,,,,,,,
Знания - о природе,знание,"Знания о природе озера у старожилов , например , Баргузинского и Кабанского районов отличаются удивительным богатством и разнообразием",Знания - о природе,['HEAD'],['о+loc'],HEAD,HEAD: знание,--,--,adj1: о+loc: природа,,,,
,,,,,,,,,,,,,,
описания - синяков,описание,"Руки жесткие , синяки на руках ... "" После описания синяков и крови достаточно оригинально смотрится вывод "" предполагаемая причина смерти – острый сердечный приступ """,описания - синяков,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: описание,arg1: gen: синяк,--,,,,,
,,,,,,,,,,,,,,
Северо-Кавказского - регионального - командования - войск,командование,"Наиболее объективные данные , основанные на оперативных сводках , 12 января назвал командующий войсками Северо-Кавказского регионального командования Внутренних войск генерал-полковник Евгений Внуков",командования - войск,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: командование,arg1: gen: войско,--,,,,,
,,,,,,,,,,,,,,
поручение - органам,поручение,Руководством следственного управления дано поручение органам полиции обеспечить безопасность следственной группе и всем жителям поселка,поручение - органам,['HEAD'],['dat'],HEAD,HEAD: поручение,--,--,adj1: dat: орган,,,,
,,,,,,,,,,,,,,
издание - securitylab,издание,"Два сервера самопроизвольно подключались к нескольким сайтам компании , отмечает издание securitylab . ru",издание - securitylab,['HEAD'],['LATN'],HEAD,HEAD: издание,--,--,adj1: LATN: securitylab,,,,
,,,,,,,,,,,,,,
пример - украшение - гробницы - Александра,украшение,Классический пример – украшение гробницы Александра Невского,украшение - гробницы - Александра,"['HEAD', 'gen', 'gen']",[],HEAD-arg1-arg2,HEAD: украшение,arg1: gen: гробница,arg2: gen: александр,,,,,
,,,,,,,,,,,,,,
прозвучавшим - горьким - заключением - что,заключение,"С прозвучавшим же с самого верха горьким заключением , что у нас "" торможение и застой "" , из низового начальства согласились лишь 23 %",заключением - что,['HEAD'],['CONJ'],HEAD,HEAD: заключение,--,--,adj1: CONJ: что,,,,
